City,Beijing,Tianjin,Shijiazhuang,Qinhuangdao,Baoding,Taiyuan,Hohhot,Shenyang,Dalian,Changchun,Harbin,Shanghai,Nanjing,Suzhou,Zhenjiang,Hangzhou,Ningbo,Wenzhou,Hefei,Fuzhou,Xiamen,Nanchang,Jinan,Qingdao,Zhengzhou,Wuhan,Changsha,Guangzhou,Shenzhen,Nanning,Guilin,Haikou,Chongqing,Chengdu,Guiyang,Zunyi,Kunming,Xi’an,Lanzhou,Urumqi,RowSum,Rank
Beijing,0.0,0.6145833333333333,0.6145833333333333,0.6479166666666667,0.6,0.7395833333333333,0.5,0.7083333333333333,0.5,0.6354166666666666,0.5520833333333333,0.6041666666666667,0.6666666666666666,0.625,0.675,0.6020833333333333,0.6145833333333334,0.6145833333333334,0.5520833333333333,0.5208333333333334,0.48958333333333337,0.53125,0.625,0.5416666666666666,0.5229166666666666,0.54375,0.5416666666666666,0.46875000000000006,0.4520833333333333,0.7104166666666667,0.7416666666666667,0.6020833333333333,0.71875,0.4895833333333333,0.4375,0.6041666666666666,0.5625,0.5416666666666666,0.6666666666666666,0.5520833333333333,22.93125,6.0
Tianjin,0.38541666666666674,0.0,0.39583333333333337,0.3375,0.34375,0.3958333333333333,0.3583333333333333,0.4208333333333334,0.33958333333333335,0.375,0.39166666666666666,0.3604166666666667,0.4354166666666667,0.39375,0.38333333333333336,0.39375000000000004,0.3541666666666667,0.3541666666666667,0.39166666666666666,0.33125,0.2958333333333333,0.3875,0.38333333333333336,0.41250000000000003,0.41875000000000007,0.41250000000000003,0.39583333333333337,0.33125,0.31666666666666665,0.375,0.44375000000000003,0.35208333333333336,0.5125,0.36666666666666664,0.38958333333333334,0.41875,0.39375,0.4,0.3645833333333333,0.36041666666666666,14.872916666666669,39.0
Shijiazhuang,0.38541666666666674,0.6041666666666666,0.0,0.34375,0.44583333333333336,0.4125,0.4041666666666667,0.4354166666666667,0.3125,0.45625000000000004,0.41458333333333336,0.43750000000000006,0.42708333333333337,0.36458333333333337,0.4270833333333333,0.3979166666666667,0.3458333333333333,0.3875,0.4083333333333333,0.3333333333333333,0.36458333333333337,0.38125,0.4083333333333333,0.4083333333333333,0.3895833333333334,0.4354166666666667,0.3979166666666667,0.3145833333333333,0.35000000000000003,0.39166666666666666,0.4479166666666667,0.35625000000000007,0.5416666666666666,0.31666666666666665,0.40625000000000006,0.43125,0.3458333333333334,0.3916666666666667,0.3791666666666667,0.39375,15.595833333333335,38.0
Qinhuangdao,0.3520833333333333,0.6625,0.65625,0.0,0.5520833333333334,0.48750000000000004,0.36249999999999993,0.5,0.4145833333333333,0.45625,0.40624999999999994,0.4708333333333333,0.45,0.44999999999999996,0.41874999999999996,0.3666666666666667,0.40833333333333327,0.43958333333333327,0.41666666666666663,0.32708333333333334,0.36458333333333326,0.4583333333333333,0.4395833333333333,0.38541666666666663,0.39166666666666666,0.40625,0.39375,0.35833333333333334,0.3833333333333333,0.48958333333333337,0.4583333333333333,0.43125,0.5104166666666666,0.35416666666666663,0.3854166666666667,0.4583333333333333,0.2520833333333333,0.3729166666666667,0.42083333333333334,0.3416666666666666,16.654166666666665,33.0
Baoding,0.4,0.65625,0.5541666666666667,0.44791666666666663,0.0,0.4583333333333333,0.32916666666666666,0.4604166666666667,0.3145833333333333,0.4645833333333333,0.4791666666666667,0.47500000000000003,0.48125,0.4375,0.4270833333333333,0.34375,0.3979166666666667,0.3770833333333334,0.41875,0.3041666666666667,0.3354166666666667,0.50625,0.3979166666666667,0.3791666666666667,0.4395833333333333,0.40625000000000006,0.34375,0.34375000000000006,0.3291666666666666,0.40416666666666673,0.4875,0.4604166666666667,0.5083333333333333,0.35833333333333334,0.3770833333333333,0.45416666666666666,0.2916666666666667,0.4791666666666667,0.38958333333333334,0.3520833333333333,16.270833333333332,36.0
Taiyuan,0.26041666666666674,0.6041666666666667,0.5875,0.5125,0.5416666666666667,0.0,0.31875000000000003,0.33958333333333335,0.35833333333333334,0.40208333333333335,0.39583333333333337,0.40625,0.31041666666666673,0.33333333333333337,0.39375000000000004,0.31250000000000006,0.27083333333333337,0.3229166666666667,0.42291666666666666,0.3229166666666667,0.26875,0.33958333333333335,0.33333333333333337,0.3604166666666667,0.3145833333333334,0.33958333333333335,0.33125,0.30416666666666664,0.2958333333333333,0.3520833333333334,0.4041666666666667,0.31250000000000006,0.37291666666666673,0.32291666666666663,0.3729166666666667,0.4104166666666667,0.29166666666666663,0.3770833333333333,0.3791666666666667,0.29791666666666666,14.197916666666668,40.0
Hohhot,0.5,0.6416666666666667,0.5958333333333333,0.6375000000000001,0.6708333333333334,0.6812499999999999,0.0,0.4833333333333333,0.39583333333333337,0.49374999999999997,0.4854166666666666,0.45625000000000004,0.5416666666666666,0.5604166666666667,0.6125,0.39375,0.4666666666666667,0.38333333333333336,0.4083333333333334,0.375,0.35833333333333334,0.4020833333333333,0.425,0.4083333333333333,0.5229166666666666,0.39166666666666666,0.3958333333333333,0.35208333333333336,0.29583333333333334,0.5020833333333333,0.5270833333333333,0.46875,0.6208333333333333,0.4125,0.5270833333333333,0.5354166666666667,0.45625,0.5041666666666667,0.54375,0.3479166666666667,18.78125,24.0
Shenyang,0.29166666666666674,0.5791666666666666,0.5645833333333333,0.5,0.5395833333333333,0.6604166666666667,0.5166666666666667,0.0,0.3916666666666667,0.44583333333333336,0.44583333333333336,0.39375000000000004,0.4520833333333334,0.39375,0.4666666666666667,0.39375000000000004,0.3229166666666667,0.39583333333333337,0.41250000000000003,0.3104166666666667,0.3145833333333333,0.41041666666666665,0.38333333333333336,0.41250000000000003,0.41875000000000007,0.41250000000000003,0.37083333333333335,0.3,0.31666666666666665,0.4083333333333333,0.4666666666666667,0.35208333333333336,0.4208333333333334,0.3520833333333333,0.32708333333333334,0.4354166666666667,0.3729166666666667,0.41041666666666665,0.3541666666666667,0.35,16.066666666666666,37.0
Dalian,0.5,0.6604166666666667,0.6875,0.5854166666666667,0.6854166666666667,0.6416666666666666,0.6041666666666666,0.6083333333333333,0.0,0.55,0.43750000000000006,0.4979166666666667,0.5145833333333334,0.4583333333333333,0.5083333333333333,0.4479166666666667,0.46875,0.39583333333333337,0.45208333333333334,0.37916666666666665,0.40208333333333335,0.40208333333333335,0.3854166666666667,0.40208333333333335,0.44166666666666665,0.3916666666666667,0.41458333333333336,0.3854166666666667,0.30416666666666664,0.5083333333333333,0.4479166666666667,0.5291666666666667,0.5583333333333333,0.42500000000000004,0.39375,0.5083333333333333,0.45416666666666666,0.41041666666666665,0.3875,0.41458333333333336,18.65,26.0
Changchun,0.36458333333333337,0.625,0.54375,0.54375,0.5354166666666667,0.5979166666666667,0.5062500000000001,0.5541666666666667,0.44999999999999996,0.0,0.42500000000000004,0.39375000000000004,0.40625,0.3854166666666667,0.4583333333333333,0.36250000000000004,0.38333333333333336,0.39375000000000004,0.41875,0.3979166666666667,0.29375,0.42708333333333337,0.42500000000000004,0.3875,0.38750000000000007,0.4083333333333333,0.36458333333333337,0.35625,0.33958333333333335,0.3875,0.4208333333333334,0.3979166666666667,0.5270833333333333,0.3479166666666667,0.38541666666666674,0.3875,0.3854166666666667,0.38125000000000003,0.3770833333333333,0.3375,16.470833333333335,35.0
