City,Beijing,Tianjin,Shijiazhuang,Qinhuangdao,Baoding,Taiyuan,Hohhot,Shenyang,Dalian,Changchun,Harbin,Shanghai,Nanjing,Suzhou,Zhenjiang,Hangzhou,Ningbo,Wenzhou,Hefei,Fuzhou,Xiamen,Nanchang,Jinan,Qingdao,Zhengzhou,Wuhan,Changsha,Guangzhou,Shenzhen,Nanning,Guilin,Haikou,Chongqing,Chengdu,Guiyang,Zunyi,Kunming,Xi’an,Lanzhou,Urumqi,RowSum,Rank
Beijing,0.0,0.7666666666666667,0.7541666666666667,0.6416666666666667,0.7104166666666667,0.7541666666666667,0.65,0.7562500000000001,0.6416666666666667,0.68125,0.7145833333333333,0.7,0.7541666666666667,0.68125,0.7458333333333333,0.6395833333333334,0.6729166666666667,0.7145833333333333,0.7312500000000001,0.6416666666666667,0.5479166666666667,0.7145833333333333,0.7770833333333333,0.7000000000000001,0.775,0.7562500000000001,0.65,0.6520833333333335,0.5104166666666667,0.7104166666666667,0.7416666666666667,0.7041666666666666,0.73125,0.5854166666666668,0.66875,0.7416666666666667,0.6708333333333334,0.7562500000000001,0.7041666666666667,0.5895833333333335,27.039583333333336,1.0
Tianjin,0.23333333333333328,0.0,0.49999999999999994,0.47916666666666663,0.5208333333333334,0.6291666666666668,0.39999999999999997,0.5458333333333333,0.30416666666666664,0.5625,0.44791666666666663,0.5104166666666666,0.5020833333333333,0.54375,0.5541666666666667,0.35624999999999996,0.46875,0.5333333333333333,0.4083333333333333,0.2645833333333333,0.34791666666666665,0.45625,0.4916666666666666,0.3125,0.3812499999999999,0.46249999999999997,0.32916666666666666,0.2958333333333333,0.3291666666666666,0.5291666666666667,0.58125,0.4729166666666666,0.6125,0.3833333333333333,0.34791666666666665,0.4770833333333333,0.33541666666666664,0.3895833333333333,0.4770833333333333,0.41041666666666665,17.1875,31.0
Shijiazhuang,0.24583333333333335,0.5,0.0,0.44791666666666663,0.525,0.61875,0.41666666666666663,0.5458333333333334,0.33541666666666664,0.5937500000000001,0.50625,0.575,0.5604166666666667,0.6229166666666667,0.6333333333333334,0.4145833333333333,0.5666666666666667,0.47291666666666665,0.39375,0.30625,0.38958333333333334,0.48541666666666666,0.55625,0.3625,0.4979166666666667,0.3791666666666667,0.4458333333333333,0.3479166666666667,0.3875,0.5208333333333333,0.5791666666666667,0.47291666666666665,0.6833333333333333,0.35833333333333334,0.43124999999999997,0.5145833333333334,0.39375,0.475,0.39999999999999997,0.38125000000000003,18.34375,26.0
Qinhuangdao,0.3583333333333333,0.5208333333333334,0.5520833333333334,0.0,0.6104166666666667,0.6770833333333335,0.46875000000000006,0.5458333333333334,0.4520833333333334,0.47500000000000003,0.5020833333333334,0.5645833333333333,0.5604166666666667,0.55625,0.7125,0.4520833333333334,0.5145833333333334,0.4104166666666667,0.4729166666666667,0.3479166666666667,0.4104166666666667,0.44375000000000003,0.45208333333333334,0.4416666666666667,0.5395833333333333,0.49583333333333335,0.42500000000000004,0.4625,0.425,0.6000000000000001,0.5854166666666668,0.38958333333333334,0.6833333333333335,0.4208333333333334,0.39166666666666666,0.5875,0.4104166666666667,0.5166666666666666,0.5770833333333334,0.4854166666666667,19.49791666666667,19.0
Baoding,0.2895833333333333,0.47916666666666663,0.475,0.3895833333333333,0.0,0.5916666666666667,0.4875,0.4375,0.4145833333333333,0.5854166666666667,0.4708333333333333,0.5645833333333333,0.56875,0.58125,0.5916666666666667,0.4895833333333333,0.5395833333333333,0.44791666666666663,0.4458333333333333,0.3645833333333333,0.3958333333333333,0.44791666666666663,0.4895833333333333,0.4458333333333333,0.40625,0.4375,0.4625,0.40624999999999994,0.3458333333333333,0.4708333333333333,0.4375,0.4979166666666666,0.5708333333333333,0.42083333333333334,0.425,0.4708333333333333,0.4354166666666666,0.41666666666666663,0.4729166666666667,0.4125,18.083333333333332,28.0
Taiyuan,0.24583333333333335,0.37083333333333324,0.38125,0.3229166666666665,0.4083333333333333,0.0,0.34791666666666665,0.5208333333333333,0.3125,0.5895833333333335,0.5020833333333334,0.5437500000000001,0.5145833333333333,0.5562499999999999,0.6041666666666666,0.40833333333333327,0.4625,0.43124999999999997,0.375,0.3020833333333333,0.32291666666666663,0.35625,0.43124999999999997,0.3541666666666667,0.48124999999999996,0.38958333333333334,0.3729166666666667,0.3104166666666666,0.2958333333333333,0.5208333333333333,0.5166666666666666,0.38541666666666663,0.6041666666666667,0.4,0.38333333333333325,0.44166666666666665,0.33124999999999993,0.44166666666666665,0.44166666666666665,0.3916666666666667,16.372916666666665,36.0
Hohhot,0.35,0.6000000000000001,0.5833333333333334,0.53125,0.5125,0.6520833333333333,0.0,0.6875,0.5541666666666667,0.6520833333333333,0.6208333333333335,0.6541666666666667,0.6895833333333333,0.6395833333333334,0.65,0.5979166666666667,0.5208333333333333,0.5625,0.5583333333333333,0.5416666666666666,0.3958333333333333,0.6062500000000001,0.625,0.5395833333333334,0.6083333333333333,0.6541666666666667,0.4979166666666666,0.46875,0.3125,0.5895833333333333,0.66875,0.5104166666666666,0.6583333333333334,0.4625,0.4895833333333333,0.61875,0.525,0.6583333333333333,0.5354166666666667,0.5125,22.09583333333333,7.0
Shenyang,0.2437499999999999,0.4541666666666667,0.4541666666666666,0.4541666666666666,0.5625,0.47916666666666674,0.3125,0.0,0.2958333333333333,0.5416666666666666,0.5375,0.50625,0.54375,0.5854166666666667,0.575,0.39791666666666664,0.48125,0.42916666666666664,0.42083333333333334,0.2645833333333333,0.33124999999999993,0.48124999999999996,0.4416666666666666,0.3458333333333333,0.4770833333333333,0.41250000000000003,0.4875,0.2958333333333333,0.3291666666666666,0.5458333333333333,0.5395833333333333,0.44791666666666663,0.6541666666666667,0.4229166666666667,0.37708333333333327,0.5062500000000001,0.29374999999999996,0.5229166666666667,0.45625,0.4166666666666667,17.325,30.0
Dalian,0.3583333333333333,0.6958333333333333,0.6645833333333333,0.5479166666666666,0.5854166666666667,0.6875,0.4458333333333333,0.7041666666666667,0.0,0.7125,0.7,0.6791666666666667,0.6604166666666667,0.7125,0.6916666666666667,0.575,0.6229166666666667,0.5708333333333333,0.6583333333333333,0.5520833333333333,0.3458333333333333,0.70625,0.6333333333333333,0.6166666666666667,0.6,0.7041666666666667,0.65625,0.6020833333333334,0.36875,0.6833333333333333,0.6937500000000001,0.5729166666666666,0.7458333333333333,0.5583333333333333,0.6145833333333334,0.6520833333333335,0.575,0.6479166666666667,0.5875,0.5270833333333333,23.916666666666668,5.0
Changchun,0.31875,0.4375,0.4062499999999999,0.5249999999999999,0.4145833333333333,0.41041666666666654,0.34791666666666665,0.45833333333333337,0.2875,0.0,0.4791666666666667,0.5395833333333333,0.53125,0.5645833333333333,0.6125,0.43124999999999997,0.44791666666666663,0.48958333333333326,0.40208333333333335,0.2895833333333333,0.28125,0.4041666666666666,0.5416666666666666,0.3395833333333333,0.46249999999999997,0.4583333333333333,0.42916666666666664,0.35416666666666663,0.32291666666666663,0.4958333333333333,0.55625,0.4979166666666666,0.6041666666666666,0.34791666666666665,0.3645833333333333,0.5145833333333334,0.34375,0.47708333333333325,0.48749999999999993,0.35624999999999996,17.03333333333333,33.0
Harbin,0.28541666666666665,0.5520833333333334,0.49375,0.49791666666666656,0.5291666666666667,0.49791666666666656,0.37916666666666654,0.4625,0.30000000000000004,0.5208333333333333,0.0,0.60625,0.58125,0.55,0.58125,0.4458333333333333,0.44999999999999996,0.525,0.47916666666666663,0.3645833333333333,0.34375,0.5333333333333333,0.5416666666666666,0.4541666666666666,0.54375,0.5958333333333333,0.46041666666666664,0.35416666666666663,0.34791666666666665,0.5583333333333333,0.6562500000000001,0.53125,0.6583333333333333,0.41041666666666665,0.44791666666666663,0.6062500000000001,0.4041666666666666,0.5083333333333333,0.46249999999999997,0.41250000000000003,18.933333333333334,21.0
