City,Beijing,Tianjin,Shijiazhuang,Qinhuangdao,Baoding,Taiyuan,Hohhot,Shenyang,Dalian,Changchun,Harbin,Shanghai,Nanjing,Suzhou,Zhenjiang,Hangzhou,Ningbo,Wenzhou,Hefei,Fuzhou,Xiamen,Nanchang,Jinan,Qingdao,Zhengzhou,Wuhan,Changsha,Guangzhou,Shenzhen,Nanning,Guilin,Haikou,Chongqing,Chengdu,Guiyang,Zunyi,Kunming,Xi’an,Lanzhou,Urumqi,RowSum,Rank
Beijing,0.0,0.675,0.7375,0.6625000000000001,0.68125,0.74375,0.6125,0.7375,0.58125,0.7125,0.675,0.675,0.76875,0.7375,0.76875,0.675,0.64375,0.64375,0.6125,0.58125,0.58125,0.64375,0.675,0.6125,0.675,0.6125,0.675,0.58125,0.48125,0.73125,0.7625,0.65,0.7375,0.55,0.58125,0.64375,0.6125,0.6125,0.70625,0.6125,25.6625,1.0
Tianjin,0.32499999999999996,0.0,0.44999999999999996,0.38749999999999996,0.5,0.5375,0.4125,0.5,0.35,0.475,0.49374999999999997,0.43125,0.48124999999999996,0.48124999999999996,0.56875,0.475,0.4125,0.44375,0.475,0.31875,0.34375,0.46875,0.44375,0.475,0.40625,0.5,0.475,0.2875,0.34375,0.46875,0.5249999999999999,0.38125,0.5625,0.34375,0.375,0.46875,0.35,0.4375,0.4375,0.4375,17.049999999999997,36.0
Shijiazhuang,0.26249999999999996,0.55,0.0,0.4125,0.49375,0.5625,0.46249999999999997,0.46875,0.38125,0.525,0.51875,0.54375,0.475,0.53125,0.53125,0.46875,0.46875,0.46875,0.5,0.4,0.36875,0.51875,0.5,0.40625,0.49374999999999997,0.55,0.40625,0.36875,0.36875,0.49374999999999997,0.51875,0.43125,0.58125,0.3375,0.51875,0.49375,0.4375,0.49374999999999997,0.43125,0.36874999999999997,18.1125,27.0
Qinhuangdao,0.3374999999999999,0.6125,0.5875,0.0,0.58125,0.5875000000000001,0.43124999999999997,0.58125,0.4625,0.55625,0.51875,0.60625,0.5625,0.5625,0.5625,0.4375,0.5,0.55625,0.45625000000000004,0.36875,0.39375000000000004,0.51875,0.53125,0.42500000000000004,0.5249999999999999,0.42500000000000004,0.375,0.43125,0.39375,0.58125,0.58125,0.49375,0.58125,0.4,0.45625,0.49375,0.375,0.49374999999999997,0.49375,0.45625000000000004,19.293750000000003,18.0
Baoding,0.31875,0.5,0.50625,0.41874999999999996,0.0,0.5375,0.4375,0.5,0.40625,0.53125,0.5249999999999999,0.5249999999999999,0.50625,0.475,0.59375,0.4125,0.46875,0.5,0.4375,0.34375,0.375,0.4375,0.53125,0.375,0.4375,0.4375,0.4125,0.375,0.3375,0.41875,0.5249999999999999,0.46875,0.5,0.36875,0.40625,0.4625,0.4375,0.4375,0.46875,0.375,17.53125,33.0
Taiyuan,0.25625,0.4625,0.4375,0.41249999999999987,0.4625,0.0,0.3125,0.46249999999999997,0.34375,0.49374999999999997,0.45625,0.48125,0.44375,0.4125,0.50625,0.35,0.375,0.4,0.43124999999999997,0.24999999999999997,0.27499999999999997,0.43124999999999997,0.4125,0.36874999999999997,0.375,0.36874999999999997,0.375,0.34375,0.275,0.39999999999999997,0.49374999999999997,0.34375,0.5562499999999999,0.3375,0.36874999999999997,0.4,0.2875,0.40625,0.4,0.3625,15.33125,39.0
Hohhot,0.38749999999999996,0.5875,0.5375000000000001,0.5687500000000001,0.5625,0.6875,0.0,0.5375,0.44375,0.5625,0.5562499999999999,0.58125,0.6,0.6,0.6312500000000001,0.44375,0.50625,0.50625,0.5,0.5,0.375,0.5625,0.56875,0.4375,0.59375,0.5,0.44375,0.46875,0.3375,0.625,0.5562499999999999,0.5625,0.6187499999999999,0.43125,0.5562499999999999,0.55625,0.475,0.5625,0.5625,0.40625,20.5,13.0
Shenyang,0.26249999999999996,0.5,0.53125,0.41874999999999996,0.5,0.5375000000000001,0.4625,0.0,0.375,0.5,0.55,0.4625,0.50625,0.5375,0.5375,0.4125,0.44375,0.44375,0.4375,0.31875,0.34375,0.46875,0.44375,0.4375,0.5,0.5,0.46249999999999997,0.2875,0.34375,0.46875,0.55,0.4125,0.625,0.39999999999999997,0.40625,0.49374999999999997,0.4125,0.5,0.4375,0.36875,17.6,32.0
Dalian,0.41874999999999996,0.65,0.61875,0.5375,0.59375,0.65625,0.55625,0.625,0.0,0.64375,0.51875,0.60625,0.5625,0.56875,0.56875,0.50625,0.5625,0.5625,0.53125,0.44375,0.40625,0.525,0.56875,0.49374999999999997,0.5,0.5,0.49374999999999997,0.50625,0.375,0.6187499999999999,0.675,0.59375,0.675,0.48750000000000004,0.49374999999999997,0.6125,0.5375,0.53125,0.5,0.51875,21.34375,8.0
Changchun,0.2875,0.525,0.475,0.44375,0.46875,0.5062500000000001,0.4375,0.5,0.35624999999999996,0.0,0.49374999999999997,0.46249999999999997,0.475,0.475,0.5375,0.44375,0.475,0.46875,0.475,0.4375,0.28125,0.5249999999999999,0.475,0.46875,0.5,0.46875,0.44375,0.34375,0.3125,0.4125,0.46249999999999997,0.4375,0.5874999999999999,0.36875,0.4375,0.49375,0.38125,0.46875,0.4375,0.39999999999999997,17.45,34.0
